name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Roti Ghar,Yes,No,3.9/5,750,Basavanagudi,Casual Dining,"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa","North Indian, Chinese, South Indian",500,Dine-out,Banashankari
Grand Village,No,No,3.8/5,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Dine-out,Banashankari
Vidyarthi Bhavan,No,No,4.4/5,4460,Basavanagudi,Quick Bites,"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa",South Indian,150,,
" go Sanz sambar. Recommended to celebrate the 75 years of history!"""")", ('Rated 5.0', 'RATED\n  Visit this place if your patience level is double of a normal human.\nBy the time they call out your name, you would have wanted to run away and when they finally do, it?s a special feeling( like when you win a battle)\n\nTaste: I tasted the rava vada and the signature dosa. The vada was very hard but tasty. The dosa was super crispy and a must try.\nCoffee was really good too and felt so right after the buttery dosa(or should I say dosas)')," """"RATED\n  Had been to Vidyarthi Bhavan which is one of the oldest restaurants of bangalore which is famous for dosa on an evening. The furniture and the decor is still old fashioned and gives you authentic look. Had to wait pretty long to get the table. Tried Masala dosa", upma, kesaribath," vada and coffee. Was not completely satisfied with the taste but it's a must try once for every dosa lover for its authenticity."""")", ('Rated 5.0', crispy dosa, tasty chutney. Mind-blowing!!!\n\nIncase you haven't tried the pooris
Bharjari Oota,No,No,3.9/5,153,Basavanagudi,Casual Dining,"Curd Rice, Coriander Soup, Masala Dosa, Biryani, Thali",South Indian,350,Dine-out,Banashankari
Gokul Veg,Yes,No,3.8/5,469,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Dine-out,Banashankari
SLV Corner Restaurant,Yes,No,4.1/5,364,Basavanagudi,Casual Dining,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast","South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Dine-out,Banashankari
Timepass Dinner,Yes,No,3.8/5,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Dine-out,Banashankari
Baisakhi,Yes,No,3.8/5,527,Basavanagudi,Casual Dining,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",North Indian,500,Dine-out,Banashankari
Eat Repeat,Yes,No,3.9/5,101,Basavanagudi,Quick Bites,"Sweet Pongal, Curd Rice",South Indian,150,Dine-out,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Dine-out,Banashankari
Bridgeway,No,No,3.8/5,94,Mysore Road,Casual Dining,,"North Indian, Chinese",550,Dine-out,Banashankari
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Dine-out,Banashankari
Soho Bar & Grill,No,No,2.7/5,377,Basavanagudi,Pub,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries","North Indian, Chinese, Thai",1100,Dine-out,Banashankari
Kollapuri's,No,No,3.9/5,206,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450,Dine-out,Banashankari
Aadhya Hotel,Yes,No,3.3/5,5,Basavanagudi,"Casual Dining, Bar",,"South Indian, North Indian, Chinese, Biryani",800,Dine-out,Banashankari
Bhavani Restaurant,No,No,3.9/5,100,Basavanagudi,Quick Bites,"Coffee, Vada, Curd Rice, Ghee Roast Paneer, Thali","South Indian, North Indian, Chinese",300,Dine-out,Banashankari
Puliyogare Point,Yes,No,4.2/5,444,Basavanagudi,Quick Bites,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",South Indian,100,Dine-out,Banashankari
Zephyr,No,No,3.9/5,133,Basavanagudi,Casual Dining,"Chilli Paneer Pizza, Mocktails, French Fries, White Sauce Pasta, Nachos, Manchurian","Italian, Continental",650,Dine-out,Banashankari
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Dine-out,Banashankari
Hotel Dwarka,No,No,4.2/5,253,Basavanagudi,Quick Bites,"Khali Dosa, Kali Dosa, Upma, Filter Coffee, Kesari Bath, Set Dosa, Masala Dosa",South Indian,250,Dine-out,Banashankari
Nisarga Garden Restaurant,No,No,3.4/5,51,Basavanagudi,Quick Bites,,"South Indian, Chinese, Desserts, Beverages",350,Dine-out,Banashankari
Ma-Arya Family Restaurant,No,No,3.7/5,61,Basavanagudi,Casual Dining,"Mutton Biryani, Crispy Fried Chicken","Biryani, South Indian, North Indian, Chinese, Andhra",600,Dine-out,Banashankari
A2B - Adyar Ananda Bhavan,Yes,No,3.8/5,155,Mysore Road,Casual Dining,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, Fast Food, Street Food",400,Dine-out,Banashankari
Ragoo's,Yes,No,3.9/5,233,Jayanagar,Casual Dining,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli","Italian, Pizza, North Indian, Salad",800,Dine-out,Banashankari
Imperial Restaurant,Yes,No,3.7/5,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Dine-out,Banashankari
New Prashanth Hotel,No,No,3.9/5,66,Basavanagudi,Casual Dining,,South Indian,400,Dine-out,Banashankari
Udupi Sri Krishna Bhavan,No,No,4.1/5,238,Basavanagudi,Quick Bites,"Masala Dosa, Vada, Obbattu, Badam Milk, Khara Bhath, Coffee, Puri Saagu",South Indian,600,Dine-out,Banashankari
Chinese Kitchen,Yes,No,3.8/5,58,Basavanagudi,Quick Bites,,Chinese,150,Dine-out,Banashankari
Vijayalakshmi,Yes,No,3.9/5,47,Basavanagudi,Quick Bites,,South Indian,200,Dine-out,Banashankari
Nammura Donne Biriyani,Yes,No,3.5/5,155,Basavanagudi,Quick Bites,,"Biryani, Fast Food",400,Dine-out,Banashankari
Curry Leaves,Yes,No,4.1/5,176,Basavanagudi,Casual Dining,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani","Andhra, North Indian, Chinese",800,Dine-out,Banashankari
Goli Vada Pav No. 1,Yes,No,3.7/5,93,Basavanagudi,Quick Bites,"Masala Vada Pav, Cheese Vada Pav, Fries",Street Food,200,Dine-out,Banashankari
Ice Thunder,No,No,3.8/5,124,Basavanagudi,Quick Bites,"Masala Poori, Rumali Roti, Sandwiches, Chaat, Burgers","South Indian, Fast Food, North Indian, Desserts",300,Dine-out,Banashankari
South Kitchen,Yes,No,4.3/5,275,Basavanagudi,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,100,Dine-out,Banashankari
Upahara Darshini,No,No,4.2/5,254,Basavanagudi,Quick Bites,"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa",South Indian,150,Dine-out,Banashankari
Mahalaxmi Tiffin Room,No,No,4.1/5,177,Basavanagudi,Quick Bites,"Filter Coffee, Rava Idli, Kali Dosa, Carrot Halwa, Idli Vada, Vada Sambar, Bonda",South Indian,100,Dine-out,Banashankari
Starlite Bakery & Fastfood,Yes,No,3.7/5,23,Jayanagar,Quick Bites,,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,Dine-out,Banashankari
Sandwichwallas,Yes,No,4.0/5,132,Basavanagudi,Quick Bites,"Sandwiches, Veg Burger, Pizza Sandwich, Burgers, French Fries, Wedges, Club Sandwich",Fast Food,200,Dine-out,Banashankari
J K Fish Land,Yes,No,3.6/5,35,Jayanagar,Quick Bites,,"Seafood, Mangalorean",300,Dine-out,Banashankari
Udupi Grand,Yes,No,3.8/5,74,Basavanagudi,Quick Bites,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300,,
 'RATED\n  Very nice place and really friendly staff... I did go here 5 (during different days of the week and time) before posting my review. The best part is the quality and quantity of food. But parking is a problem, I suggest you avoid taking your car.'), ('Rated 3.5'," """"RATED\n  Located at Prime area in Basavangudi near South End", went here for lunch, ('Rated 3.5', 'RATED\n  This place servers multi cusines, South Indian, north Indian, Chinese food. Well maintained hygiene throughout the restaurant. Good for morning breakfast, fast service, pocket friendly
Chinese Square,Yes,No,3.9/5,38,Basavanagudi,Quick Bites,,Chinese,200,Dine-out,Banashankari
Castle Rock,Yes,No,3.6/5,172,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700,Dine-out,Banashankari
Swadd Kitchen,Yes,No,3.4/5,4,Basavanagudi,Casual Dining,,"North Indian, Fast Food",500,Dine-out,Banashankari
Right Pizza,Yes,No,NEW,0,Basavanagudi,Quick Bites,,Pizza,300,Dine-out,Banashankari
Kamat Bugle Rock,Yes,No,3.9/5,543,Basavanagudi,Quick Bites,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani","South Indian, Fast Food",300,Dine-out,Banashankari
Basavanagudi Mylari,No,No,4.0/5,52,Basavanagudi,Quick Bites,"Coffee, Idli, Masala Dosa, Sagu Dosa, Kesari Bath, Kharabath, Plain Dosa",South Indian,300,Dine-out,Banashankari
RS Shiv Sagar,No,No,3.7/5,217,Basavanagudi,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450,Dine-out,Banashankari
New Prashanth Hotel,No,No,2.9/5,34,Basavanagudi,Casual Dining,,"South Indian, Biryani, Chinese, North Indian",750,Dine-out,Banashankari
Shrinidhi Military Hotel,No,No,3.3/5,6,Basavanagudi,Quick Bites,,"North Indian, Mughlai",300,Dine-out,Banashankari
Dakshin Kitchen,Yes,No,3.6/5,15,Basavanagudi,Quick Bites,,South Indian,100,Dine-out,Banashankari
Pramukh Family Restaurant,No,No,3.9/5,111,Basavanagudi,Casual Dining,"Murgh Ghee Roast, Malai Kofta, Butter Chicken, Donne Biryani, Cocktails, Palak Rice, Masala Peanuts","North Indian, Chinese, Mughlai",700,Dine-out,Banashankari
Chaatimes,Yes,No,3.8/5,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Dine-out,Banashankari
Vybhava,No,No,3.8/5,39,Jayanagar,Quick Bites,"Masala Dosa, Idli, Vada Sambar","South Indian, North Indian",250,Dine-out,Banashankari
Shree Venkateshwara North Karnataka Hotel,No,No,4.0/5,64,Basavanagudi,Quick Bites,"Buttermilk, Jolada Rotti",South Indian,200,Dine-out,Banashankari
Kadamba Classic,No,No,3.6/5,16,Mysore Road,Quick Bites,,South Indian,300,Dine-out,Banashankari
Food Geek,Yes,No,3.8/5,25,Basavanagudi,Quick Bites,,"Sandwich, Fast Food, Rolls",350,Dine-out,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800,Dine-out,Banashankari
Anand Sagar Inn,No,No,3.3/5,6,Basavanagudi,Casual Dining,,"South Indian, North Indian, Chinese",450,Dine-out,Banashankari
Sangam Military Hotel,No,No,3.2/5,14,Jayanagar,Quick Bites,,South Indian,250,Dine-out,Banashankari
Kholi Mane,No,No,3.6/5,46,Basavanagudi,Quick Bites,,"Andhra, South Indian, Biryani, North Indian",450,Dine-out,Banashankari
Harshi Super Sandwich,No,No,3.8/5,148,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,Dine-out,Banashankari
Hotel Pork Paradise,Yes,No,3.7/5,21,Mysore Road,Quick Bites,,South Indian,300,Dine-out,Banashankari
Pallavi Bar & Restaurant,No,No,NEW,0,Mysore Road,"Casual Dining, Bar",,"North Indian, South Indian, Chinese",550,Dine-out,Banashankari
Belly Squad Food Truck,No,No,3.8/5,55,South Bangalore,Food Truck,"Biryani, Momos, Rolls","Chinese, Rolls, Biryani, Momos",300,Dine-out,Banashankari
Tejas Bar and Restaurant,No,No,,0,Nagarbhavi,Casual Dining,,"Chinese, South Indian",800,Dine-out,Banashankari
Old Days North Indian Restaurant,No,No,,0,Basavanagudi,Casual Dining,,North Indian,450,Dine-out,Banashankari
New Rajadhani Spicy,Yes,No,3.7/5,67,Kumaraswamy Layout,Casual Dining,,North Indian,700,Dine-out,Banashankari
Matru Sagar,Yes,No,3.7/5,31,Mysore Road,Quick Bites,,"South Indian, North Indian",300,Dine-out,Banashankari
Sri Udupi Veg,No,No,3.3/5,4,Jayanagar,Quick Bites,,South Indian,250,Dine-out,Banashankari
50-50 EATING HOUSE,No,No,3.2/5,4,Basavanagudi,Quick Bites,,"South Indian, Biryani",100,Dine-out,Banashankari
Aahar Cafe,No,No,,0,Basavanagudi,Quick Bites,,South Indian,100,Dine-out,Banashankari
Om Shiva Shakthi Chats Centre,No,No,3.9/5,26,Basavanagudi,Quick Bites,,"Street Food, Fast Food",300,Dine-out,Banashankari
Juice Junction Food Court,Yes,No,3.7/5,57,Basavanagudi,Quick Bites,,"Juices, South Indian, Chinese, Fast Food",200,Dine-out,Banashankari
Burger King,Yes,No,3.2/5,71,Basavanagudi,Quick Bites,,"Burger, Fast Food, Beverages",600,Dine-out,Banashankari
Inchara Restaurant,Yes,No,,0,Basavanagudi,Quick Bites,,"North Indian, Chinese",300,Dine-out,Banashankari
Rolls Corner,No,No,3.6/5,22,Basavanagudi,Quick Bites,,"Fast Food, Rolls",150,Dine-out,Banashankari
Charisma's Matru Sagar,No,No,,0,Mysore Road,Quick Bites,,"South Indian, Chinese",150,Dine-out,Banashankari
New Ambur Hot Dum Biryani,No,No,3.2/5,8,Mysore Road,Quick Bites,,Biryani,150,Dine-out,Banashankari
Sticke2Waffles,No,No,NEW,0,Basavanagudi,Quick Bites,,"South Indian, Fast Food",100,Dine-out,Banashankari
Nimmoora Thindi,No,No,,0,Mysore Road,Quick Bites,,"North Indian, South Indian",400,Dine-out,Banashankari
Oasis Food Center,No,No,,0,Basavanagudi,Quick Bites,,Fast Food,150,Dine-out,Banashankari
Godumana Moddha Hotel,No,No,,0,Mysore Road,Quick Bites,,Biryani,250,Dine-out,Banashankari
Akash Gowdru Biryani Center,No,No,,0,Uttarahalli,Quick Bites,,"North Indian, Chinese",300,Dine-out,Banashankari
New Sri Udupi Restaurant,No,No,,0,Jayanagar,Quick Bites,,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,Dine-out,Banashankari
Shri Vinayaka Ice N Juice,Yes,No,3.2/5,11,Basavanagudi,Quick Bites,,"Beverages, Fast Food",150,Dine-out,Banashankari
Happy Chopsticks,Yes,No,3.6/5,17,Basavanagudi,Quick Bites,,"Chinese, Fast Food",300,Dine-out,Banashankari
Ambur Dum Biriyani,No,No,NEW,0,Basavanagudi,Quick Bites,,Biryani,160,Dine-out,Banashankari
Food Plaza,No,No,NEW,0,Basavanagudi,Quick Bites,,"South Indian, North Indian, Chinese",150,Dine-out,Banashankari
Jcubez,No,Yes,3.8/5,977,Banashankari,Lounge,"Beer, Chicken Wings, Chilli Chicken, Onion Rings, Fries",Finger Food,1300,Drinks & nightlife,Banashankari
Gustoes Beer House,No,No,4.1/5,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Drinks & nightlife,Banashankari
Blue Wings Bar & Restaurant,No,No,3.7/5,43,Banashankari,"Bar, Casual Dining",,"North Indian, Chinese",700,Drinks & nightlife,Banashankari
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Drinks & nightlife,Banashankari
K27 - The Pub,No,No,3.1/5,30,Banashankari,Bar,,"Chinese, North Indian",1000,Drinks & nightlife,Banashankari
Linnet Bar & Restaurant,No,No,,0,Banashankari,Bar,,"Fast Food, Finger Food",500,Drinks & nightlife,Banashankari
Darbar,No,No,3.0/5,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Drinks & nightlife,Banashankari
Soho Bar & Grill,No,No,2.7/5,377,Basavanagudi,Pub,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries","North Indian, Chinese, Thai",1100,Drinks & nightlife,Banashankari
Deja Vu Resto Bar,Yes,Yes,4.4/5,2487,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900,,
 'RATED\n  DÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â©jÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 vu, well the name looks interesting and so is the place. Located off the Bannerghatta Rd. in Gopalan Innovation Mall. Look and feel will give you a cocktail feeling. Bar & Buffet is something cool here. Ambience is good.\n\nWe have had booked the table for a team lunch, staffs were courteous to have us arranged the table before hand and were friendly too. Coming to the food part. As usual starters were amazing apart from the prawn dish, which needed some work on it. Coming to the main course and deserts were decent not much of a choice. I would personally jump on to the starters than to prefer main course.\n\nHowever, overall experience was good. Hope my next time goes well.\n\nKeep feeding!\nCheers! ?'), 'RATED\n  DÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â©jÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 Vu is one place with a cool cinema theme based interiors with live screening!\nBuffet & Bar is their specialty and we went for the dinner buffet & the spread of starters,main course and desserts was great and taste of the food and desserts was delicious and service was top notch & totally worth the price!\nBuffet Included:\n\nSalads:\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Non-Veg\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 5 Veg\nStarters:\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 6 Veg Includes Pizza\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 4 Non-Veg\nSoups:\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Veg\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Non-Veg\nLive Counters - Chaat & Pasta\nMain Course:\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 5 Veg\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 2 Non-Veg\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Dal\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Pasta\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Italian Veg Au Gratin\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Chinese Gravy\nRice & Noodles:\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Veg Pulao\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Veg Biryani\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Non-Veg Biryani\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Veg Noodles\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Curd Rice\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Plain Rice\nDesserts:\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 3 Indian Sweets\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Pastry\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Mousse\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 1 Brownie\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Fruit\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Ice Creams'), ('Rated 4.0', 'RATED\n  Jus had a lunch , taste is good and service maintenance is average not much as expected.. should improve that.. ambience is ok.. it is top of the Gopalan mall'), soup was little watery ,can be made better. Prawn chilly was not that great as praws were too small and had lots of outer coating.Main course was good
Fattoush,Yes,Yes,4.2/5,1964,Bannerghatta Road,Casual Dining,"Mango Chiller, Fattoush, Prawn, Salads, Vegetable Biryani, Irani Chicken Tikka, Chilli Chicken","Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",1000,Buffet,Bannerghatta Road
Empire Restaurant,Yes,No,4.3/5,3178,Bannerghatta Road,Casual Dining,"Chicken Satay, Mutton Brain, Egg Biryani, Paneer Tikka Masala, Rolls, Lemon Chicken, Butter Chicken","North Indian, Mughlai, South Indian, Chinese",750,Buffet,Bannerghatta Road
Abhiruchi Hotel,Yes,No,3.3/5,455,Bannerghatta Road,Casual Dining,"Egg Biryani, Chicken Curry, Chicken Boneless Biryani, Chilli Chicken, Vegetable Biryani, Jeera Rice","Andhra, Biryani, North Indian, Chinese",550,Buffet,Bannerghatta Road
Tulips,No,No,3.1/5,19,Bannerghatta Road,Casual Dining,,"North Indian, South Indian, Chinese, Continental",800,Buffet,Bannerghatta Road
Barbeque Nation,No,Yes,4.7/5,3845,JP Nagar,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","North Indian, European, Mediterranean, BBQ, Kebab",1600,Buffet,Bannerghatta Road
Sattvam,No,No,4.3/5,353,JP Nagar,Casual Dining,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani","North Indian, South Indian",1200,Buffet,Bannerghatta Road
24th Main,No,Yes,4.1/5,1234,JP Nagar,Casual Dining,"Carrot Halwa, Paneer Satay, Manchow Soup, Gajar Ka Halwa, Butter Naan, Mocktails, Tandoori Mushrooms","North Indian, South Indian, Chinese",800,Buffet,Bannerghatta Road
Zaitoon,Yes,Yes,4.1/5,1538,JP Nagar,Casual Dining,"Hummus Falafel, Gulab Jamun, Shawarma, Bbq Chicken, Mojito, Chicken Biryani, Manchow Soup","BBQ, Arabian, Chinese, North Indian, Desserts",1000,Buffet,Bannerghatta Road
Mango Greens,No,Yes,3.9/5,49,JP Nagar,Casual Dining,,"North Indian, Continental, Chinese",900,Buffet,Bannerghatta Road
Oye Amritsar,Yes,Yes,3.8/5,756,JP Nagar,Casual Dining,"Lassi, Raita, Dal Makhani, Panneer Butter Masala, Jalebi, Biryani, Paneer Tikka",North Indian,1000,Buffet,Bannerghatta Road
Melt - Eden Park,Yes,Yes,4.0/5,347,JP Nagar,Casual Dining,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles","North Indian, Chinese, Thai, Mughlai, Seafood",1000,Buffet,Bannerghatta Road
Crave Bit Cafe,No,No,NEW,0,JP Nagar,Cafe,,Cafe,600,Buffet,Bannerghatta Road
